ano,cod_conta,nomenclaturas_observadas
2024,DespesaComPessoalNaoComputadaExerciciosAnterioresAoPeriodoDaApuracao,Despesas de Exercícios Anteriores de Período Anterior ao da Apuração
2024,DespesaComPessoalNaoComputadaInativosEPensionistasComRecursosVinculados,Inativos e Pensionistas com Recursos Vinculados
2024,DespesaComPessoalNaoComputadaIndenizacaoDemissaoVoluntaria,Indenizações por Demissão e Incentivos à Demissão Voluntária
2024,DespesaComPessoalNaoExecutadaOrcamentariamente,Despesa com Pessoal não Executada Orçamentariamente
2024,DespesaComPessoalTotal,DESPESA TOTAL COM PESSOAL - DTP (III) = (I - II) | DESPESA TOTAL COM PESSOAL - DTP (VI) = (IIIa + IIIb)
2024,DespesaTotalComPessoalPercentual2021,DTP em 2021 (X) (%)
2024,DespesaTotalComPessoalTrajetoriaDeRetornoAoLimite,DESPESA TOTAL COM PESSOAL - DTP (VI)
2024,DespesasPensoesInativosEPensionistas,Pensões
2024,LimiteDeAlertaDespesaComPessoalTotal,"LIMITE DE ALERTA (IX) = (0,90 x VII) (inciso II do §1º do art. 59 da LRF)"
2024,LimiteMaximoDespesaComPessoalTotal,"LIMITE MÁXIMO (VII) (incisos I, II e III, art. 20 da LRF)"
2024,LimitePrudencialDespesaComPessoalTotal,"LIMITE PRUDENCIAL (VIII) = (0,95 x VII) (parágrafo único do art. 22 da LRF)"
2024,ObrigacoesPatronais,Obrigações Patronais
2024,ParcelaDedutivelReferenteAoPisoSalarialDoEnfermeiroTecnicoDeEnfermagemAuxiliarDeEnfermagemEParteira,"Parcela dedutível referente ao piso salarial do Enfermeiro, Técnico de Enfermagem, Auxiliar de Enfermagem e Parteira (ADCT, art. 38, §2º)"
2024,PercentualDespesaTotalComPessoal,% DTP (VI / V)
2024,PercentualExcedenteDespesaComPessoal,Excedente em 2021 (XI) = (X - VII) (%)
2024,PercentualLimiteArt15LC178,LIMITE CONFORME ART. 15 DA LC 178/2021 (%)
2024,PercentualLimiteMaximo,"Limite Máximo (VII) (%) (LRF, art. 20)"
2024,PercentualRedutorAnualDespesaComPessoal,"Redutor anual (XII) = (0,10 x XI) (%)"
2024,ReceitaCorrenteLiquidaAjustada,= RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (V)
2024,ReceitaCorrenteLiquidaLimiteLegal,RECEITA CORRENTE LIQUIDA - RCL (IV)
2024,ReceitaCorrenteLiquidaTrajetoriaDeRetornoAoLimite,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (V)
2024,TransferenciasDaUniaoRelativasARemuneracaoDosAgentesComunitariosDeSaude,"(-) Transferências da União relativas à remuneração dos agentes comunitários de saúde e de combate às endemias (CF, art. 198, §11)"
2024,TransferenciasObrigatoriasDaUniaoRelativasAsEmendasDeBancada,"(-) Transferências obrigatórias da União relativas às emendas de bancada (art. 166, § 16, da CF)"
