ano,ranking_ano,UF,nome_estado,DTP_RCL,Limite_Alerta,Limite_Prudencial,Limite_Maximo,situacao_fiscal
2022,9.0,TO,Tocantins,39.35,44.1,46.55,49.0,confortável
2022,10.0,GO,Goiás,40.52,43.74,46.17,48.6,confortável
2022,11.0,PR,Paraná,40.68,44.1,46.55,49.0,confortável
2022,12.0,AL,Alagoas,40.9,44.1,46.55,49.0,confortável
2022,13.0,AP,Amapá,40.95,44.1,46.55,49.0,confortável
2022,14.0,AM,Amazonas,41.1,44.1,46.55,49.0,confortável
2022,15.0,SC,Santa Catarina,41.83,44.1,46.55,49.0,confortável
2022,16.0,PI,Piauí,42.25,44.1,46.55,49.0,confortável
2022,17.0,CE,Ceará,42.83,44.1,46.55,49.0,confortável
2022,18.0,PE,Pernambuco,43.03,44.1,46.55,49.0,atenção
2022,19.0,SE,Sergipe,44.0,44.1,46.55,49.0,atenção
2022,20.0,DF,Distrito Federal,44.17,44.1,46.55,49.0,alerta
2022,21.0,RR,Roraima,44.93,44.1,46.55,49.0,alerta
2022,22.0,PB,Paraíba,45.33,44.1,46.55,49.0,alerta
2022,23.0,RJ,Rio de Janeiro,45.83,44.1,46.55,49.0,alerta
2022,24.0,AC,Acre,46.36,44.1,46.55,49.0,alerta
2022,25.0,RS,Rio Grande do Sul,47.88,44.1,46.55,49.0,acima do limite prudencial
2022,26.0,MG,Minas Gerais,48.44,44.1,46.55,49.0,acima do limite prudencial
2022,27.0,RN,Rio Grande do Norte,53.37,44.1,46.55,49.0,acima do limite máximo
2023,1.0,DF,Distrito Federal,34.8,44.1,46.55,49.0,confortável
2023,2.0,MA,Maranhão,36.57,44.1,46.55,49.0,confortável
2023,3.0,MT,Mato Grosso,37.5,44.1,46.55,49.0,confortável
2023,4.0,RO,Rondônia,38.23,44.1,46.55,49.0,confortável
2023,5.0,ES,Espírito Santo,38.29,44.1,46.55,49.0,confortável
2023,6.0,BA,Bahia,39.98,43.74,46.17,48.6,confortável
2023,7.0,PI,Piauí,40.15,44.1,46.55,49.0,confortável
